2020-08-06 22:34:24 install bash:i386 <none> 4.4.18-2ubuntu1
2020-08-06 22:34:24 status half-installed bash:i386 4.4.18-2ubuntu1
2020-08-06 22:34:24 status unpacked bash:i386 4.4.18-2ubuntu1
2020-08-06 22:34:24 status unpacked bash:i386 4.4.18-2ubuntu1
2020-08-06 22:34:24 install bsdutils:i386 <none> 1:2.31.1-0.4ubuntu3
2020-08-06 22:34:24 status half-installed bsdutils:i386 1:2.31.1-0.4ubuntu3
2020-08-06 22:34:24 status unpacked bsdutils:i386 1:2.31.1-0.4ubuntu3
2020-08-06 22:34:24 status unpacked bsdutils:i386 1:2.31.1-0.4ubuntu3
2020-08-06 22:34:24 install coreutils:i386 <none> 8.28-1ubuntu1
2020-08-06 22:34:24 status half-installed coreutils:i386 8.28-1ubuntu1
2020-08-06 22:34:24 status unpacked coreutils:i386 8.28-1ubuntu1
2020-08-06 22:34:24 status unpacked coreutils:i386 8.28-1ubuntu1
2020-08-06 22:34:24 install dash:i386 <none> 0.5.8-2.10
2020-08-06 22:34:24 status half-installed dash:i386 0.5.8-2.10
2020-08-06 22:34:24 status unpacked dash:i386 0.5.8-2.10
2020-08-06 22:34:24 status unpacked dash:i386 0.5.8-2.10
2020-08-06 22:34:24 install debconf:all <none> 1.5.66
2020-08-06 22:34:24 status half-installed debconf:all 1.5.66
2020-08-06 22:34:24 status unpacked debconf:all 1.5.66
2020-08-06 22:34:24 status unpacked debconf:all 1.5.66
2020-08-06 22:34:25 install debianutils:i386 <none> 4.8.4
2020-08-06 22:34:25 status half-installed debianutils:i386 4.8.4
2020-08-06 22:34:25 status unpacked debianutils:i386 4.8.4
2020-08-06 22:34:25 status unpacked debianutils:i386 4.8.4
2020-08-06 22:34:25 install diffutils:i386 <none> 1:3.6-1
2020-08-06 22:34:25 status half-installed diffutils:i386 1:3.6-1
2020-08-06 22:34:25 status unpacked diffutils:i386 1:3.6-1
2020-08-06 22:34:25 status unpacked diffutils:i386 1:3.6-1
2020-08-06 22:34:25 upgrade dpkg:i386 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2020-08-06 22:34:25 status half-configured dpkg:i386 1.19.0.5ubuntu2
2020-08-06 22:34:25 status unpacked dpkg:i386 1.19.0.5ubuntu2
